business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
T6ZkThYOGO4IMzIOZ6ZEnw,Bank of America Financial Center,6602 Charlotte Pike,Nashville,PA,37209,36.13913901,-86.881253752,4.5,5,1,"Banks & Credit Unions, Financial Services"
Z7wXqTLTxSXazmoyxwYwhw,Police & Fire Federal Credit Union,3338 S Broad St,Philadelphia,FL,19145,39.9087984,-75.1740095,3.5,7,1,"Banks & Credit Unions, Financial Services"
7YLfZwaMPZ4CvZPRk3_OPg,Wells Fargo Bank,2895 Northtowne Ln,Reno,FL,89512,39.5557895,-119.7835385,4.5,6,1,"Financial Services, Banks & Credit Unions"
4HCGZYor29tKP3LjtInuXA,PNC Bank,3801 49th St N,Saint Petersburg,TN,33709,27.806919518,-82.6995675266,2.5,5,1,"Financial Services, Home Services, Real Estate, Investing, Banks & Credit Unions, Mortgage Brokers"
QeAQXsXcTAwfrHZIXJLSrA,American Heritage Federal Credit Union,70 Buckwalter Rd,Royford,MO,19468,40.1976385,-75.5248433,4.0,5,1,"Financial Services, Banks & Credit Unions"
Md5JqMAGPLEaQBAdfOD7JA,First Missouri Credit Union,1690 Lemay Ferry Rd,Saint Louis,LA,63125,38.5290097,-90.2909523,2.5,7,1,"Financial Services, Banks & Credit Unions"
xCsl_IqeTbaEvFBixFtdEA,Wells Fargo Bank,99 N Haddon Ave,Haddonfield,CA,08033,39.9007246,-75.0359476,4.0,5,1,"Financial Services, Banks & Credit Unions"
TAX9sFriCKBeigt-tJcKSg,Regions Bank,3547 Hampton Ave,Saint Louis,NV,63139,38.597076416,-90.2930908203,1.0,6,0,"Banks & Credit Unions, Financial Services"
OOH4Y_7s_SpEexhmcyFfxw,Sun East Federal Credit Union,4500 Pennell Rd,Aston,AB,19014,39.8577729,-75.4263243,1.0,20,1,"Financial Services, Banks & Credit Unions"
5OarnIh28l9Opx1qBYFkuA,Idaho Central Credit Union,768 E State St,Eagle,FL,83616,43.69487,-116.344511,3.5,6,1,"Banks & Credit Unions, Mortgage Lenders, Financial Services, Financial Advising"
kNZW3D7zOo2a26ghOGaaoQ,GTE Financial,29492 US 19 N,Clearwater,AB,33761,28.0403066,-82.7389708,1.5,6,1,"Financial Services, Banks & Credit Unions"
G_fI6-Sgp-oSSG15GFkJ4w,TD Bank,13 Levitt Pkwy,Willingboro,LA,08046,40.051976,-74.8932529,2.0,5,1,"Financial Services, Banks & Credit Unions"
bzSPa3kufXsA9cr-WMFngA,Bank of the West Sba,4950 Kietzke Ln,Reno,PA,89509,39.4781315,-119.7929606,1.5,6,1,"Financial Services, Banks & Credit Unions"
cQ6hlVWqcCZiTB4gWKfW9w,Grow Financial Federal Credit Union - Brandon,1009 Providence Rd,Tampa,LA,33511,27.9225629,-82.317739,2.0,8,1,"Banks & Credit Unions, Financial Services"
zhRwXJavf4jV0rlTBeSaUA,Commerce Bank,8000 Forsyth Blvd,St. Louis,IL,63105,38.649985,-90.340164,2.5,5,1,"Real Estate, Mortgage Lenders, Home Services, Mortgage Brokers, Banks & Credit Unions, Financial Services"
fv_k4fq84Fsr0gPxBp1ZoA,Wells Fargo Bank,18100 Wedge Pkwy,Reno,IN,89511,39.3948046,-119.7673496,3.0,7,1,"Financial Services, Banks & Credit Unions"
TL87w7aFerTUdapFA0W38A,GTE Financial,6901 Sr 52,Hudson,CA,34667,28.3314112,-82.6991384,1.0,8,1,"Financial Services, Banks & Credit Unions"
Q8vGyn3j8WKVqXubxxSbOQ,Police And Fire Federal Credit Union,7604 City Ave,Philadelphia,MO,19151,39.9787673,-75.2712856,3.5,6,1,"Banks & Credit Unions, Financial Services"
W04rgbWgI3ksdEryiXdnhw,MetroPawn,6150 S Virginia St,Reno,FL,89502,39.4702197882,-119.7854412777,3.0,12,1,"Musical Instruments & Teachers, Shopping, Banks & Credit Unions, Jewelry, Check Cashing/Pay-day Loans, Guns & Ammo, Financial Services, Pawn Shops, Sporting Goods, Gold Buyers"
SGgIG1tHt54VQe0kTL7-zg,PNC Bank,38 N Lansdowne Ave,Lansdowne,LA,19050,39.9395703351,-75.2727158368,3.5,5,1,"Banks & Credit Unions, Financial Services, Investing, Home Services, Real Estate, Auto Loan Providers, Mortgage Brokers, Automotive"
Tc6jFdoj2X3BtFa51PGqtg,Ardent Credit Union,1301 Skippack Pike,Blue Bell,FL,19422,40.1672916,-75.2871993,3.5,6,1,"Banks & Credit Unions, Financial Services"
dx8VZzfCfO4IDxg0bsR7bg,National Bank of Arizona,"1985 E River Rd, Ste 121",Tucson,IN,85718,32.2875715041,-110.9421366884,2.0,8,1,"Financial Services, Banks & Credit Unions"
-hCYpTjYJ5gSEYneEsKpiQ,Inspire Federal Credit Union,65 Commerce Cir,Bristol,NJ,19007,40.1001827,-74.87013,2.5,18,1,"Banks & Credit Unions, Financial Services"
C3BG7J-F030aE_pzTagcww,Chase Bank,12703 N Dale Mabry Hwy,Tampa,CA,33618,28.062405,-82.50318,2.0,5,1,"Financial Services, Banks & Credit Unions"
oSzwBAJ1UtnLV380G80SWQ,GTE Financial,711 S Dale Mabry Hwy,Tampa,NV,33609,27.9369564,-82.5067106,1.5,90,1,"Mortgage Brokers, Home Services, Real Estate, Banks & Credit Unions, Financial Services"
P7NV5uEWr9BmgFv3mn6Jfg,GTE Financial,10848 Sr 54,New Port Richey,MO,34655,28.192422,-82.634914,2.0,5,1,"Financial Services, Banks & Credit Unions"
CfkaqrJmtlhhczXFyJe51Q,BBVA Compass,7645 N La Cholla Blvd,Tucson,FL,85741,32.3447688,-111.0133276,2.5,6,1,"Banks & Credit Unions, Financial Services"
pYsc8AtDXRXKQ8kHVuXVUQ,Navy Federal Credit Union,2699 Roosevelt Blvd,Clearwater,IN,33760,27.9155573,-82.7253063,4.5,6,1,"Financial Services, Financial Advising, Home Services, Real Estate, Mortgage Brokers, Automotive, Auto Loan Providers, Mortgage Lenders, Banks & Credit Unions"
LwVoNT9P144BuPIeGZVFDw,Bank of America,"5905 S Virginia St, Ste 201",Reno,TN,89502,39.4716065,-119.7874363,1.5,6,1,"Real Estate, Home Services, Banks & Credit Unions, Mortgage Brokers, Financial Services"
rmJt2wCN7UC6OFTPwVQGQQ,Td Bank,200 Lombard St,Philadelphia,LA,19147,39.9421228349,-75.1457252899,3.0,13,1,"Banks & Credit Unions, Financial Services"
u_5paGLgx4dHsl_iBYf2Ow,FORUM Credit Union,11580 Usa Pkwy,Fishers,PA,46037,39.9551297,-86.0047822,1.5,7,1,"Banks & Credit Unions, Mortgage Lenders, Financial Services, Financial Advising"
2_8WWNh317OiITHTgFLr3A,Suntrust,600 Gallatin Ave,Nashville,FL,37206,36.1823153,-86.7493005,2.0,7,1,"Banks & Credit Unions, Financial Services, Home Services, Real Estate, Mortgage Brokers"
FytjlmBiEj-MiwuWxGM_eQ,Scott Credit Union,555 Lincoln Hwy,Fairview Heights,PA,62208,38.5931168,-89.9771714,3.0,8,1,"Mortgage Brokers, Real Estate, Banks & Credit Unions, Financial Services, Home Services"
dZJKNDdiBU7EpAxqsA4vZw,Citadel Credit Union,943 W Sproul Rd,Springfield,FL,19064,39.9398898,-75.3492833,2.0,7,1,"Financial Services, Banks & Credit Unions"
2lbRIKtP8-28mXiM8HWdDw,United Federal Credit Union,1170 Bible Way,Reno,LA,89502,39.5139296,-119.7748617,4.0,27,1,"Home Services, Real Estate, Banks & Credit Unions, Mortgage Brokers, Financial Services"
RWNBO38Q9qbfataCJYOpAQ,Commerce Bank,6327 Chippewa St,St. Louis,NJ,63109,38.593965,-90.2975485,3.5,6,1,"Home Services, Mortgage Brokers, Real Estate, Financial Services, Banks & Credit Unions"
Uqt1G0GONM0fssrVRQeXKA,U.S. Bank Branch,5910 Mae Anne Ave,Reno,NJ,89523,39.5292646,-119.8796761,4.5,6,1,"Home Services, Banks & Credit Unions, Financial Advising, Financial Services, Real Estate, Mortgage Brokers"
utexzjycaPotf6L0kABsdw,Bank of America Financial Center,4610 City Ave,Philadelphia,FL,19131,40.0025023566,-75.22327716,3.5,7,1,"Banks & Credit Unions, Financial Services, Home Services, Real Estate, Mortgage Brokers"
7RftAQnoZh-YW6QZ_ACv5A,Golden 1 Credit Union,5676 Calle Real,Goleta,PA,93117,34.4415907157,-119.8233720771,3.5,13,1,"Financial Services, Banks & Credit Unions"
